"filename", "language", "Python", "YAML", "Markdown", "XML", "JavaScript", "PostCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 19, 57
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\backend\app.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 6, 13, 68
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\evaluate_saved_model.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 6, 9, 45
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\CameraClassifier.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 0, 3, 19, 87
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 17613, 0, 0, 1, 17614
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\utrej\OneDrive\Desktop\sem7\Smart-Waste-Detection-and-Segregation-Platform\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 99, 0, 0, 8, 18, 125
