"filename", "language", "JSON", "pip requirements", "JavaScript", "Python", "PostCSS", "comment", "blank", "total"
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\backend\app.py", "Python", 0, 0, 0, 2, 0, 1, 3, 6
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\backend\requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 0, -1, 0
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\package-lock.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\package.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, -93, -1, -13, -107
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\src\App.js", "JavaScript", 0, 0, -18, 0, 0, 3, 4, -11
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\src\Dashboard.js", "JavaScript", 0, 0, 111, 0, 0, 2, 15, 128
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\frontend\waste-frontend\src\firebase.js", "JavaScript", 0, 0, 13, 0, 0, 2, 2, 17
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\package-lock.json", "JSON", 1151, 0, 0, 0, 0, 0, 1, 1152
"c:\Users\utrej\OneDrive\Desktop\sem7\swdasp\Smart-Waste-Detection-and-Segregation-Platform\package.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 1193, 1, 106, 2, -93, 7, 12, 1228
